Date,CFS @ Head of Park, Surf-Time!! Be very light on your feet,Skimboards or short fins! , AWESOME Wave Time
2024-01-13 12:15,222.27,650,550,800
2024-01-13 12:30,222.27,650,550,800
2024-01-13 12:45,222.27,650,550,800
2024-01-13 13:00,222.27,650,550,800
2024-01-13 13:15,222.27,650,550,800
2024-01-13 13:30,222.27,650,550,800
2024-01-13 13:45,222.27,650,550,800
2024-01-13 14:00,222.27,650,550,800
2024-01-13 14:15,222.27,650,550,800
2024-01-13 14:30,222.27,650,550,800
2024-01-13 14:45,222.27,650,550,800
2024-01-13 15:00,222.27,650,550,800
2024-01-13 15:15,222.27,650,550,800
2024-01-13 15:30,222.27,650,550,800
2024-01-13 15:45,222.27,650,550,800
2024-01-13 16:00,222.27,650,550,800
2024-01-13 16:15,222.27,650,550,800
2024-01-13 16:30,222.27,650,550,800
2024-01-13 16:45,222.27,650,550,800
2024-01-13 17:00,222.27,650,550,800
2024-01-13 17:15,222.27,650,550,800
2024-01-13 17:30,222.27,650,550,800
2024-01-13 17:45,222.27,650,550,800
2024-01-13 18:00,222.27,650,550,800
2024-01-13 18:15,222.27,650,550,800
2024-01-13 18:30,222.27,650,550,800
2024-01-13 18:45,222.27,650,550,800
2024-01-13 19:00,222.27,650,550,800
2024-01-13 19:15,222.27,650,550,800
2024-01-13 19:30,222.27,650,550,800
2024-01-13 19:45,222.27,650,550,800
2024-01-13 20:00,222.27,650,550,800
2024-01-13 20:15,222.27,650,550,800
2024-01-13 20:30,222.27,650,550,800
2024-01-13 20:45,222.27,650,550,800
2024-01-13 21:00,222.27,650,550,800
2024-01-13 21:15,222.27,650,550,800
2024-01-13 21:30,222.27,650,550,800
2024-01-13 21:45,222.27,650,550,800
2024-01-13 22:00,222.27,650,550,800
2024-01-13 22:15,222.27,650,550,800
2024-01-13 22:30,222.27,650,550,800
2024-01-13 22:45,222.27,650,550,800
2024-01-13 23:00,222.27,650,550,800
2024-01-13 23:15,222.27,650,550,800
2024-01-13 23:30,222.27,650,550,800
2024-01-13 23:45,222.27,650,550,800
2024-01-14 00:00,222.27,650,550,800
2024-01-14 00:15,222.27,650,550,800
2024-01-14 00:30,222.27,650,550,800
2024-01-14 00:45,222.27,650,550,800
2024-01-14 01:00,222.27,650,550,800
2024-01-14 01:15,222.27,650,550,800
2024-01-14 01:30,222.27,650,550,800
2024-01-14 01:45,222.27,650,550,800
2024-01-14 02:00,222.27,650,550,800
2024-01-14 02:15,222.27,650,550,800
2024-01-14 02:30,222.27,650,550,800
2024-01-14 02:45,222.27,650,550,800
2024-01-14 03:00,222.27,650,550,800
2024-01-14 03:15,222.27,650,550,800
2024-01-14 03:30,222.27,650,550,800
2024-01-14 03:45,222.27,650,550,800
2024-01-14 04:00,222.27,650,550,800
2024-01-14 04:15,222.27,650,550,800
2024-01-14 04:30,222.27,650,550,800
2024-01-14 04:45,222.27,650,550,800
2024-01-14 05:00,222.27,650,550,800
2024-01-14 05:15,222.27,650,550,800
2024-01-14 05:30,222.27,650,550,800
2024-01-14 05:45,222.27,650,550,800
2024-01-14 06:00,222.27,650,550,800
2024-01-14 06:15,222.27,650,550,800
2024-01-14 06:30,227.85,650,550,800
2024-01-14 06:45,229.71,650,550,800
2024-01-14 07:00,232.5,650,550,800
2024-01-14 07:15,235.29,650,550,800
2024-01-14 07:30,238.08,650,550,800
2024-01-14 07:45,240.87,650,550,800
2024-01-14 08:00,243.66,650,550,800
2024-01-14 08:15,246.45,650,550,800
2024-01-14 08:30,246.45,650,550,800
2024-01-14 08:45,248.31,650,550,800
2024-01-14 09:00,251.1,650,550,800
2024-01-14 09:15,253.89,650,550,800
2024-01-14 09:30,253.89,650,550,800
2024-01-14 09:45,256.68,650,550,800
2024-01-14 10:00,259.47,650,550,800
2024-01-14 10:15,262.26,650,550,800
2024-01-14 10:30,262.26,650,550,800
2024-01-14 10:45,265.05,650,550,800
2024-01-14 11:00,265.05,650,550,800
2024-01-14 11:15,265.05,650,550,800
2024-01-14 11:30,265.05,650,550,800
2024-01-14 11:45,265.05,650,550,800
2024-01-14 12:00,265.05,650,550,800
2024-01-14 12:15,267.84,650,550,800
2024-01-14 12:30,267.84,650,550,800
2024-01-14 12:45,270.63,650,550,800
2024-01-14 13:00,273.42,650,550,800
2024-01-14 13:15,276.21,650,550,800
2024-01-14 13:30,279.0,650,550,800
2024-01-14 13:45,281.79,650,550,800
2024-01-14 14:00,284.58,650,550,800
2024-01-14 14:15,287.37,650,550,800
2024-01-14 14:30,290.16,650,550,800
2024-01-14 14:45,292.95,650,550,800
2024-01-14 15:00,295.74,650,550,800
2024-01-14 15:15,299.46,650,550,800
2024-01-14 15:30,302.25,650,550,800
2024-01-14 15:45,302.25,650,550,800
2024-01-14 16:00,305.04,650,550,800
2024-01-14 16:15,305.04,650,550,800
2024-01-14 16:30,307.83,650,550,800
2024-01-14 16:45,307.83,650,550,800
2024-01-14 17:00,307.83,650,550,800
2024-01-14 17:15,310.62,650,550,800
2024-01-14 17:30,310.62,650,550,800
2024-01-14 17:45,310.62,650,550,800
2024-01-14 18:00,310.62,650,550,800
2024-01-14 18:15,310.62,650,550,800
2024-01-14 18:30,310.62,650,550,800
2024-01-14 18:45,310.62,650,550,800
2024-01-14 19:00,310.62,650,550,800
2024-01-14 19:15,310.62,650,550,800
2024-01-14 19:30,310.62,650,550,800
2024-01-14 19:45,310.62,650,550,800
2024-01-14 20:00,313.41,650,550,800
2024-01-14 20:15,313.41,650,550,800
2024-01-14 20:30,313.41,650,550,800
2024-01-14 20:45,317.13,650,550,800
2024-01-14 21:00,317.13,650,550,800
2024-01-14 21:15,317.13,650,550,800
2024-01-14 21:30,319.92,650,550,800
2024-01-14 21:45,319.92,650,550,800
2024-01-14 22:00,319.92,650,550,800
2024-01-14 22:15,319.92,650,550,800
2024-01-14 22:30,322.71,650,550,800
2024-01-14 22:45,322.71,650,550,800
2024-01-14 23:00,322.71,650,550,800
2024-01-14 23:15,322.71,650,550,800
2024-01-14 23:30,322.71,650,550,800
2024-01-14 23:45,325.5,650,550,800
2024-01-15 00:00,325.5,650,550,800
2024-01-15 00:15,325.5,650,550,800
2024-01-15 00:30,325.5,650,550,800
2024-01-15 00:45,325.5,650,550,800
2024-01-15 01:00,328.29,650,550,800
2024-01-15 01:15,328.29,650,550,800
2024-01-15 01:30,328.29,650,550,800
2024-01-15 01:45,328.29,650,550,800
2024-01-15 02:00,332.01,650,550,800
2024-01-15 02:15,332.01,650,550,800
2024-01-15 02:30,334.8,650,550,800
2024-01-15 02:45,334.8,650,550,800
2024-01-15 03:00,334.8,650,550,800
2024-01-15 03:15,337.59,650,550,800
2024-01-15 03:30,337.59,650,550,800
2024-01-15 03:45,341.31,650,550,800
2024-01-15 04:00,341.31,650,550,800
2024-01-15 04:15,344.1,650,550,800
2024-01-15 04:30,346.89,650,550,800
2024-01-15 04:45,346.89,650,550,800
2024-01-15 05:00,349.68,650,550,800
2024-01-15 05:15,353.4,650,550,800
2024-01-15 05:30,356.19,650,550,800
2024-01-15 05:45,359.91,650,550,800
2024-01-15 06:00,362.7,650,550,800
2024-01-15 06:15,365.49,650,550,800
2024-01-15 06:30,369.21,650,550,800
2024-01-15 06:45,372.0,650,550,800
2024-01-15 07:00,375.72,650,550,800
2024-01-15 07:15,378.51,650,550,800
2024-01-15 07:30,381.3,650,550,800
2024-01-15 07:45,387.81,650,550,800
2024-01-15 08:00,391.53,650,550,800
2024-01-15 08:15,394.32,650,550,800
2024-01-15 08:30,398.04,650,550,800
2024-01-15 08:45,400.83,650,550,800
2024-01-15 09:00,408.27,650,550,800
2024-01-15 09:15,411.06,650,550,800
2024-01-15 09:30,414.78,650,550,800
2024-01-15 09:45,417.57,650,550,800
2024-01-15 10:00,421.29,650,550,800
2024-01-15 10:15,424.08,650,550,800
2024-01-15 10:30,427.8,650,550,800
2024-01-15 10:45,431.52,650,550,800
2024-01-15 11:00,434.31,650,550,800
2024-01-15 11:15,438.03,650,550,800
2024-01-15 11:30,438.03,650,550,800
2024-01-15 11:45,441.75,650,550,800
2024-01-15 12:00,441.75,650,550,800
2024-01-15 12:15,444.54,650,550,800
2024-01-15 12:30,448.26,650,550,800
2024-01-15 12:45,448.26,650,550,800
2024-01-15 13:00,451.98,650,550,800
2024-01-15 13:15,455.7,650,550,800
2024-01-15 13:30,455.7,650,550,800
2024-01-15 13:45,458.49,650,550,800
2024-01-15 14:00,462.21,650,550,800
2024-01-15 14:15,462.21,650,550,800
2024-01-15 14:30,462.21,650,550,800
2024-01-15 14:45,465.0,650,550,800
2024-01-15 15:00,465.0,650,550,800
2024-01-15 15:15,467.79,650,550,800
2024-01-15 15:30,467.79,650,550,800
2024-01-15 15:45,470.58,650,550,800
2024-01-15 16:00,470.58,650,550,800
2024-01-15 16:15,473.37,650,550,800
2024-01-15 16:30,473.37,650,550,800
2024-01-15 16:45,476.16,650,550,800
2024-01-15 17:00,479.88,650,550,800
2024-01-15 17:15,479.88,650,550,800
2024-01-15 17:30,482.67,650,550,800
2024-01-15 17:45,485.46,650,550,800
2024-01-15 18:00,485.46,650,550,800
2024-01-15 18:15,488.25,650,550,800
2024-01-15 18:30,491.04,650,550,800
2024-01-15 18:45,491.04,650,550,800
2024-01-15 19:00,493.83,650,550,800
2024-01-15 19:15,493.83,650,550,800
2024-01-15 19:30,496.62,650,550,800
2024-01-15 19:45,493.83,650,550,800
2024-01-15 20:00,493.83,650,550,800
2024-01-15 20:15,496.62,650,550,800
2024-01-15 20:30,496.62,650,550,800
2024-01-15 20:45,496.62,650,550,800
2024-01-15 21:00,500.34,650,550,800
2024-01-15 21:15,500.34,650,550,800
2024-01-15 21:30,500.34,650,550,800
2024-01-15 21:45,500.34,650,550,800
2024-01-15 22:00,500.34,650,550,800
2024-01-15 22:15,503.13,650,550,800
2024-01-15 22:30,500.34,650,550,800
2024-01-15 22:45,500.34,650,550,800
2024-01-15 23:00,500.34,650,550,800
2024-01-15 23:15,500.34,650,550,800
2024-01-15 23:30,500.34,650,550,800
2024-01-15 23:45,500.34,650,550,800
2024-01-16 00:00,500.34,650,550,800
2024-01-16 00:15,500.34,650,550,800
2024-01-16 00:30,500.34,650,550,800
2024-01-16 00:45,500.34,650,550,800
2024-01-16 01:00,496.62,650,550,800
2024-01-16 01:15,496.62,650,550,800
2024-01-16 01:30,493.83,650,550,800
2024-01-16 01:45,493.83,650,550,800
2024-01-16 02:00,493.83,650,550,800
2024-01-16 02:15,491.04,650,550,800
2024-01-16 02:30,491.04,650,550,800
2024-01-16 02:45,491.04,650,550,800
2024-01-16 03:00,488.25,650,550,800
2024-01-16 03:15,488.25,650,550,800
2024-01-16 03:30,488.25,650,550,800
2024-01-16 03:45,488.25,650,550,800
2024-01-16 04:00,485.46,650,550,800
2024-01-16 04:15,485.46,650,550,800
2024-01-16 04:30,482.67,650,550,800
2024-01-16 04:45,482.67,650,550,800
2024-01-16 05:00,482.67,650,550,800
2024-01-16 05:15,479.88,650,550,800
2024-01-16 05:30,479.88,650,550,800
2024-01-16 05:45,479.88,650,550,800
2024-01-16 06:00,476.16,650,550,800
2024-01-16 06:15,476.16,650,550,800
2024-01-16 06:30,473.37,650,550,800
2024-01-16 06:45,476.16,650,550,800
2024-01-16 07:00,473.37,650,550,800
2024-01-16 07:15,473.37,650,550,800
2024-01-16 07:30,470.58,650,550,800
2024-01-16 07:45,470.58,650,550,800
2024-01-16 08:00,470.58,650,550,800
2024-01-16 08:15,470.58,650,550,800
2024-01-16 08:30,470.58,650,550,800
2024-01-16 08:45,470.58,650,550,800
2024-01-16 09:00,467.79,650,550,800
2024-01-16 09:15,467.79,650,550,800
2024-01-16 09:30,465.0,650,550,800
2024-01-16 09:45,465.0,650,550,800
2024-01-16 10:00,465.0,650,550,800
2024-01-16 10:15,465.0,650,550,800
2024-01-16 10:30,465.0,650,550,800
2024-01-16 10:45,465.0,650,550,800
2024-01-16 11:00,462.21,650,550,800
2024-01-16 11:15,462.21,650,550,800
2024-01-16 11:30,462.21,650,550,800
2024-01-16 11:45,462.21,650,550,800
2024-01-16 12:00,458.49,650,550,800
2024-01-16 12:15,458.49,650,550,800
2024-01-16 12:30,458.49,650,550,800
2024-01-16 12:45,458.49,650,550,800
2024-01-16 13:00,455.7,650,550,800
2024-01-16 13:15,455.7,650,550,800
2024-01-16 13:30,455.7,650,550,800
2024-01-16 13:45,455.7,650,550,800
2024-01-16 14:00,455.7,650,550,800
2024-01-16 14:15,455.7,650,550,800
2024-01-16 14:30,455.7,650,550,800
2024-01-16 14:45,455.7,650,550,800
2024-01-16 15:00,455.7,650,550,800
2024-01-16 15:15,455.7,650,550,800
2024-01-16 15:30,455.7,650,550,800
2024-01-16 15:45,455.7,650,550,800
2024-01-16 16:00,455.7,650,550,800
2024-01-16 16:15,455.7,650,550,800
2024-01-16 16:30,455.7,650,550,800
2024-01-16 16:45,455.7,650,550,800
2024-01-16 17:00,455.7,650,550,800
2024-01-16 17:15,455.7,650,550,800
2024-01-16 17:30,455.7,650,550,800
2024-01-16 17:45,455.7,650,550,800
2024-01-16 18:00,455.7,650,550,800
2024-01-16 18:15,455.7,650,550,800
2024-01-16 18:30,455.7,650,550,800
2024-01-16 18:45,455.7,650,550,800
2024-01-16 19:00,455.7,650,550,800
2024-01-16 19:15,455.7,650,550,800
2024-01-16 19:30,455.7,650,550,800
2024-01-16 19:45,455.7,650,550,800
2024-01-16 20:00,455.7,650,550,800
2024-01-16 20:15,455.7,650,550,800
2024-01-16 20:30,451.98,650,550,800
2024-01-16 20:45,451.98,650,550,800
2024-01-16 21:00,451.98,650,550,800
2024-01-16 21:15,451.98,650,550,800
2024-01-16 21:30,451.98,650,550,800
2024-01-16 21:45,451.98,650,550,800
2024-01-16 22:00,448.26,650,550,800
2024-01-16 22:15,448.26,650,550,800
2024-01-16 22:30,448.26,650,550,800
2024-01-16 22:45,448.26,650,550,800
2024-01-16 23:00,448.26,650,550,800
2024-01-16 23:15,448.26,650,550,800
2024-01-16 23:30,444.54,650,550,800
2024-01-16 23:45,444.54,650,550,800
2024-01-17 00:00,444.54,650,550,800
2024-01-17 00:15,444.54,650,550,800
2024-01-17 00:30,444.54,650,550,800
2024-01-17 00:45,444.54,650,550,800
2024-01-17 01:00,444.54,650,550,800
2024-01-17 01:15,444.54,650,550,800
2024-01-17 01:30,444.54,650,550,800
2024-01-17 01:45,444.54,650,550,800
2024-01-17 02:00,441.75,650,550,800
2024-01-17 02:15,441.75,650,550,800
2024-01-17 02:30,441.75,650,550,800
2024-01-17 02:45,444.54,650,550,800
2024-01-17 03:00,444.54,650,550,800
2024-01-17 03:15,441.75,650,550,800
2024-01-17 03:30,441.75,650,550,800
2024-01-17 03:45,441.75,650,550,800
2024-01-17 04:00,441.75,650,550,800
2024-01-17 04:15,441.75,650,550,800
2024-01-17 04:30,438.03,650,550,800
2024-01-17 04:45,438.03,650,550,800
2024-01-17 05:00,438.03,650,550,800
2024-01-17 05:15,438.03,650,550,800
2024-01-17 05:30,434.31,650,550,800
2024-01-17 05:45,434.31,650,550,800
2024-01-17 06:00,434.31,650,550,800
2024-01-17 06:15,434.31,650,550,800
2024-01-17 06:30,434.31,650,550,800
2024-01-17 06:45,434.31,650,550,800
2024-01-17 07:00,434.31,650,550,800
2024-01-17 07:15,434.31,650,550,800
2024-01-17 07:30,434.31,650,550,800
2024-01-17 07:45,434.31,650,550,800
2024-01-17 08:00,434.31,650,550,800
2024-01-17 08:15,434.31,650,550,800
2024-01-17 08:30,431.52,650,550,800
2024-01-17 08:45,431.52,650,550,800
2024-01-17 09:00,431.52,650,550,800
2024-01-17 09:15,431.52,650,550,800
2024-01-17 09:30,431.52,650,550,800
2024-01-17 09:45,431.52,650,550,800
2024-01-17 10:00,431.52,650,550,800
2024-01-17 10:15,431.52,650,550,800
2024-01-17 10:30,431.52,650,550,800
2024-01-17 10:45,434.31,650,550,800
2024-01-17 11:00,434.31,650,550,800
2024-01-17 11:15,431.52,650,550,800
2024-01-17 11:30,431.52,650,550,800
2024-01-17 11:45,431.52,650,550,800
2024-01-17 12:00,431.52,650,550,800
2024-01-17 12:15,431.52,650,550,800
2024-01-17 12:30,434.31,650,550,800
2024-01-17 12:45,434.31,650,550,800
2024-01-17 13:00,434.31,650,550,800
2024-01-17 13:15,434.31,650,550,800
2024-01-17 13:30,434.31,650,550,800
2024-01-17 13:45,434.31,650,550,800
2024-01-17 14:00,431.52,650,550,800
2024-01-17 14:15,431.52,650,550,800
2024-01-17 14:30,431.52,650,550,800
2024-01-17 14:45,431.52,650,550,800
2024-01-17 15:00,431.52,650,550,800
2024-01-17 15:15,434.31,650,550,800
2024-01-17 15:30,431.52,650,550,800
2024-01-17 15:45,431.52,650,550,800
2024-01-17 16:00,434.31,650,550,800
2024-01-17 16:15,431.52,650,550,800
2024-01-17 16:30,431.52,650,550,800
2024-01-17 16:45,427.8,650,550,800
2024-01-17 17:00,427.8,650,550,800
2024-01-17 17:15,427.8,650,550,800
2024-01-17 17:30,427.8,650,550,800
2024-01-17 17:45,424.08,650,550,800
2024-01-17 18:00,424.08,650,550,800
2024-01-17 18:15,424.08,650,550,800
2024-01-17 18:30,427.8,650,550,800
2024-01-17 18:45,427.8,650,550,800
2024-01-17 19:00,427.8,650,550,800
2024-01-17 19:15,427.8,650,550,800
2024-01-17 19:30,427.8,650,550,800
2024-01-17 19:45,427.8,650,550,800
2024-01-17 20:00,427.8,650,550,800
2024-01-17 20:15,427.8,650,550,800
2024-01-17 20:30,427.8,650,550,800
2024-01-17 20:45,431.52,650,550,800
2024-01-17 21:00,434.31,650,550,800
2024-01-17 21:15,438.03,650,550,800
2024-01-17 21:30,434.31,650,550,800
2024-01-17 21:45,434.31,650,550,800
2024-01-17 22:00,431.52,650,550,800
2024-01-17 22:15,431.52,650,550,800
2024-01-17 22:30,431.52,650,550,800
2024-01-17 22:45,431.52,650,550,800
2024-01-17 23:00,431.52,650,550,800
2024-01-17 23:15,431.52,650,550,800
2024-01-17 23:30,431.52,650,550,800
2024-01-17 23:45,431.52,650,550,800
2024-01-18 00:00,431.52,650,550,800
2024-01-18 00:15,431.52,650,550,800
2024-01-18 00:30,431.52,650,550,800
2024-01-18 00:45,434.31,650,550,800
2024-01-18 01:00,434.31,650,550,800
2024-01-18 01:15,431.52,650,550,800
2024-01-18 01:30,434.31,650,550,800
2024-01-18 01:45,434.31,650,550,800
2024-01-18 02:00,434.31,650,550,800
2024-01-18 02:15,434.31,650,550,800
2024-01-18 02:30,434.31,650,550,800
2024-01-18 02:45,434.31,650,550,800
2024-01-18 03:00,434.31,650,550,800
2024-01-18 03:15,434.31,650,550,800
2024-01-18 03:30,434.31,650,550,800
2024-01-18 03:45,434.31,650,550,800
2024-01-18 04:00,434.31,650,550,800
2024-01-18 04:15,434.31,650,550,800
2024-01-18 04:30,434.31,650,550,800
2024-01-18 04:45,434.31,650,550,800
2024-01-18 05:00,438.03,650,550,800
2024-01-18 05:15,438.03,650,550,800
2024-01-18 05:30,438.03,650,550,800
2024-01-18 05:45,438.03,650,550,800
2024-01-18 06:00,438.03,650,550,800
2024-01-18 06:15,438.03,650,550,800
2024-01-18 06:30,438.03,650,550,800
2024-01-18 06:45,438.03,650,550,800
2024-01-18 07:00,438.03,650,550,800
2024-01-18 07:15,438.03,650,550,800
2024-01-18 07:30,438.03,650,550,800
2024-01-18 07:45,438.03,650,550,800
2024-01-18 08:00,438.03,650,550,800
2024-01-18 08:15,438.03,650,550,800
2024-01-18 08:30,441.75,650,550,800
2024-01-18 08:45,441.75,650,550,800
2024-01-18 09:00,438.03,650,550,800
2024-01-18 09:15,441.75,650,550,800
2024-01-18 09:30,441.75,650,550,800
2024-01-18 09:45,441.75,650,550,800
2024-01-18 10:00,441.75,650,550,800
2024-01-18 10:15,441.75,650,550,800
2024-01-18 10:30,441.75,650,550,800
2024-01-18 10:45,441.75,650,550,800
2024-01-18 11:00,441.75,650,550,800
2024-01-18 11:15,441.75,650,550,800
2024-01-18 11:30,441.75,650,550,800
2024-01-18 11:45,441.75,650,550,800
2024-01-18 12:00,444.54,650,550,800
2024-01-18 12:15,444.54,650,550,800
2024-01-18 12:30,444.54,650,550,800
2024-01-18 12:45,444.54,650,550,800
2024-01-18 13:00,444.54,650,550,800
2024-01-18 13:15,444.54,650,550,800
2024-01-18 13:30,444.54,650,550,800
2024-01-18 13:45,444.54,650,550,800
2024-01-18 14:00,448.26,650,550,800
2024-01-18 14:15,444.54,650,550,800
2024-01-18 14:30,448.26,650,550,800
2024-01-18 14:45,448.26,650,550,800
2024-01-18 15:00,448.26,650,550,800
2024-01-18 15:15,448.26,650,550,800
2024-01-18 15:30,448.26,650,550,800
2024-01-18 15:45,448.26,650,550,800
2024-01-18 16:00,448.26,650,550,800
2024-01-18 16:15,451.98,650,550,800
