Date,below_Wickiup_Res,BENO,HeadOfPark
2024-01-14 02:45,114.00,239.00,222.27
2024-01-14 03:00,114.00,239.00,222.27
2024-01-14 03:15,114.00,239.00,222.27
2024-01-14 03:30,114.00,239.00,222.27
2024-01-14 03:45,114.00,239.00,222.27
2024-01-14 04:00,114.00,239.00,222.27
2024-01-14 04:15,114.00,239.00,222.27
2024-01-14 04:30,114.00,239.00,222.27
2024-01-14 04:45,114.00,239.00,222.27
2024-01-14 05:00,114.00,239.00,222.27
2024-01-14 05:15,114.00,239.00,222.27
2024-01-14 05:30,114.00,239.00,222.27
2024-01-14 05:45,114.00,239.00,222.27
2024-01-14 06:00,113.00,239.00,222.27
2024-01-14 06:15,113.00,239.00,222.27
2024-01-14 06:30,113.00,245.00,227.85
2024-01-14 06:45,113.00,247.00,229.71
2024-01-14 07:00,113.00,250.00,232.5
2024-01-14 07:15,113.00,253.00,235.29
2024-01-14 07:30,113.00,256.00,238.08
2024-01-14 07:45,113.00,259.00,240.87
2024-01-14 08:00,113.00,262.00,243.66
2024-01-14 08:15,113.00,265.00,246.45
2024-01-14 08:30,113.00,265.00,246.45
2024-01-14 08:45,113.00,267.00,248.31
2024-01-14 09:00,113.00,270.00,251.1
2024-01-14 09:15,113.00,273.00,253.89
2024-01-14 09:30,113.00,273.00,253.89
2024-01-14 09:45,113.00,276.00,256.68
2024-01-14 10:00,113.00,279.00,259.47
2024-01-14 10:15,113.00,282.00,262.26
2024-01-14 10:30,113.00,282.00,262.26
2024-01-14 10:45,113.00,285.00,265.05
2024-01-14 11:00,113.00,285.00,265.05
2024-01-14 11:15,113.00,285.00,265.05
2024-01-14 11:30,113.00,285.00,265.05
2024-01-14 11:45,113.00,285.00,265.05
2024-01-14 12:00,113.00,285.00,265.05
2024-01-14 12:15,113.00,288.00,267.84
2024-01-14 12:30,113.00,288.00,267.84
2024-01-14 12:45,113.00,291.00,270.63
2024-01-14 13:00,113.00,294.00,273.42
2024-01-14 13:15,113.00,297.00,276.21
2024-01-14 13:30,113.00,300.00,279.0
2024-01-14 13:45,113.00,303.00,281.79
2024-01-14 14:00,113.00,306.00,284.58
2024-01-14 14:15,113.00,309.00,287.37
2024-01-14 14:30,113.00,312.00,290.16
2024-01-14 14:45,113.00,315.00,292.95
2024-01-14 15:00,113.00,318.00,295.74
2024-01-14 15:15,113.00,322.00,299.46
2024-01-14 15:30,113.00,325.00,302.25
2024-01-14 15:45,113.00,325.00,302.25
2024-01-14 16:00,113.00,328.00,305.04
2024-01-14 16:15,113.00,328.00,305.04
2024-01-14 16:30,113.00,331.00,307.83
2024-01-14 16:45,113.00,331.00,307.83
2024-01-14 17:00,113.00,331.00,307.83
2024-01-14 17:15,113.00,334.00,310.62
2024-01-14 17:30,113.00,334.00,310.62
2024-01-14 17:45,113.00,334.00,310.62
2024-01-14 18:00,113.00,334.00,310.62
2024-01-14 18:15,113.00,334.00,310.62
2024-01-14 18:30,113.00,334.00,310.62
2024-01-14 18:45,113.00,334.00,310.62
2024-01-14 19:00,113.00,334.00,310.62
2024-01-14 19:15,113.00,334.00,310.62
2024-01-14 19:30,113.00,334.00,310.62
2024-01-14 19:45,113.00,334.00,310.62
2024-01-14 20:00,113.00,337.00,313.41
2024-01-14 20:15,113.00,337.00,313.41
2024-01-14 20:30,113.00,337.00,313.41
2024-01-14 20:45,113.00,341.00,317.13
2024-01-14 21:00,113.00,341.00,317.13
2024-01-14 21:15,113.00,341.00,317.13
2024-01-14 21:30,113.00,344.00,319.92
2024-01-14 21:45,113.00,344.00,319.92
2024-01-14 22:00,113.00,344.00,319.92
2024-01-14 22:15,113.00,344.00,319.92
2024-01-14 22:30,113.00,347.00,322.71
2024-01-14 22:45,113.00,347.00,322.71
2024-01-14 23:00,113.00,347.00,322.71
2024-01-14 23:15,113.00,347.00,322.71
2024-01-14 23:30,113.00,347.00,322.71
2024-01-14 23:45,113.00,350.00,325.5
2024-01-15 00:00,113.00,350.00,325.5
2024-01-15 00:15,113.00,350.00,325.5
2024-01-15 00:30,113.00,350.00,325.5
2024-01-15 00:45,113.00,350.00,325.5
2024-01-15 01:00,113.00,353.00,328.29
2024-01-15 01:15,113.00,353.00,328.29
2024-01-15 01:30,113.00,353.00,328.29
2024-01-15 01:45,113.00,353.00,328.29
2024-01-15 02:00,113.00,357.00,332.01
2024-01-15 02:15,113.00,357.00,332.01
2024-01-15 02:30,113.00,360.00,334.8
2024-01-15 02:45,113.00,360.00,334.8
2024-01-15 03:00,113.00,360.00,334.8
2024-01-15 03:15,113.00,363.00,337.59
2024-01-15 03:30,113.00,363.00,337.59
2024-01-15 03:45,113.00,367.00,341.31
2024-01-15 04:00,113.00,367.00,341.31
2024-01-15 04:15,113.00,370.00,344.1
2024-01-15 04:30,113.00,373.00,346.89
2024-01-15 04:45,113.00,373.00,346.89
2024-01-15 05:00,113.00,376.00,349.68
2024-01-15 05:15,113.00,380.00,353.4
2024-01-15 05:30,113.00,383.00,356.19
2024-01-15 05:45,113.00,387.00,359.91
2024-01-15 06:00,113.00,390.00,362.7
2024-01-15 06:15,113.00,393.00,365.49
2024-01-15 06:30,113.00,397.00,369.21
2024-01-15 06:45,113.00,400.00,372.0
2024-01-15 07:00,113.00,404.00,375.72
2024-01-15 07:15,113.00,407.00,378.51
2024-01-15 07:30,113.00,410.00,381.3
2024-01-15 07:45,113.00,417.00,387.81
2024-01-15 08:00,113.00,421.00,391.53
2024-01-15 08:15,113.00,424.00,394.32
2024-01-15 08:30,113.00,428.00,398.04
2024-01-15 08:45,111.00,431.00,400.83
2024-01-15 09:00,111.00,439.00,408.27
2024-01-15 09:15,111.00,442.00,411.06
2024-01-15 09:30,111.00,446.00,414.78
2024-01-15 09:45,111.00,449.00,417.57
2024-01-15 10:00,111.00,453.00,421.29
2024-01-15 10:15,111.00,456.00,424.08
2024-01-15 10:30,111.00,460.00,427.8
2024-01-15 10:45,111.00,464.00,431.52
2024-01-15 11:00,111.00,467.00,434.31
2024-01-15 11:15,111.00,471.00,438.03
2024-01-15 11:30,111.00,471.00,438.03
2024-01-15 11:45,111.00,475.00,441.75
2024-01-15 12:00,111.00,475.00,441.75
2024-01-15 12:15,111.00,478.00,444.54
2024-01-15 12:30,111.00,482.00,448.26
2024-01-15 12:45,111.00,482.00,448.26
2024-01-15 13:00,111.00,486.00,451.98
2024-01-15 13:15,111.00,490.00,455.7
2024-01-15 13:30,111.00,490.00,455.7
2024-01-15 13:45,111.00,493.00,458.49
2024-01-15 14:00,111.00,497.00,462.21
2024-01-15 14:15,111.00,497.00,462.21
2024-01-15 14:30,111.00,497.00,462.21
2024-01-15 14:45,111.00,500.00,465.0
2024-01-15 15:00,111.00,500.00,465.0
2024-01-15 15:15,111.00,503.00,467.79
2024-01-15 15:30,111.00,503.00,467.79
2024-01-15 15:45,111.00,506.00,470.58
2024-01-15 16:00,111.00,506.00,470.58
2024-01-15 16:15,111.00,509.00,473.37
2024-01-15 16:30,111.00,509.00,473.37
2024-01-15 16:45,111.00,512.00,476.16
2024-01-15 17:00,111.00,516.00,479.88
2024-01-15 17:15,111.00,516.00,479.88
2024-01-15 17:30,111.00,519.00,482.67
2024-01-15 17:45,111.00,522.00,485.46
2024-01-15 18:00,111.00,522.00,485.46
2024-01-15 18:15,111.00,525.00,488.25
2024-01-15 18:30,111.00,528.00,491.04
2024-01-15 18:45,111.00,528.00,491.04
2024-01-15 19:00,111.00,531.00,493.83
2024-01-15 19:15,111.00,531.00,493.83
2024-01-15 19:30,111.00,534.00,496.62
2024-01-15 19:45,111.00,531.00,493.83
2024-01-15 20:00,111.00,531.00,493.83
2024-01-15 20:15,111.00,534.00,496.62
2024-01-15 20:30,111.00,534.00,496.62
2024-01-15 20:45,111.00,534.00,496.62
2024-01-15 21:00,111.00,538.00,500.34
2024-01-15 21:15,111.00,538.00,500.34
2024-01-15 21:30,111.00,538.00,500.34
2024-01-15 21:45,111.00,538.00,500.34
2024-01-15 22:00,111.00,538.00,500.34
2024-01-15 22:15,111.00,541.00,503.13
2024-01-15 22:30,111.00,538.00,500.34
2024-01-15 22:45,111.00,538.00,500.34
2024-01-15 23:00,111.00,538.00,500.34
2024-01-15 23:15,111.00,538.00,500.34
2024-01-15 23:30,111.00,538.00,500.34
2024-01-15 23:45,111.00,538.00,500.34
2024-01-16 00:00,111.00,538.00,500.34
2024-01-16 00:15,111.00,538.00,500.34
2024-01-16 00:30,111.00,538.00,500.34
2024-01-16 00:45,111.00,538.00,500.34
2024-01-16 01:00,111.00,534.00,496.62
2024-01-16 01:15,111.00,534.00,496.62
2024-01-16 01:30,111.00,531.00,493.83
2024-01-16 01:45,111.00,531.00,493.83
2024-01-16 02:00,111.00,531.00,493.83
2024-01-16 02:15,111.00,528.00,491.04
2024-01-16 02:30,111.00,528.00,491.04
2024-01-16 02:45,111.00,528.00,491.04
2024-01-16 03:00,111.00,525.00,488.25
2024-01-16 03:15,111.00,525.00,488.25
2024-01-16 03:30,111.00,525.00,488.25
2024-01-16 03:45,111.00,525.00,488.25
2024-01-16 04:00,111.00,522.00,485.46
2024-01-16 04:15,111.00,522.00,485.46
2024-01-16 04:30,111.00,519.00,482.67
2024-01-16 04:45,111.00,519.00,482.67
2024-01-16 05:00,111.00,519.00,482.67
2024-01-16 05:15,111.00,516.00,479.88
2024-01-16 05:30,111.00,516.00,479.88
2024-01-16 05:45,111.00,516.00,479.88
2024-01-16 06:00,111.00,512.00,476.16
2024-01-16 06:15,111.00,512.00,476.16
2024-01-16 06:30,111.00,509.00,473.37
2024-01-16 06:45,111.00,512.00,476.16
2024-01-16 07:00,111.00,509.00,473.37
2024-01-16 07:15,111.00,509.00,473.37
2024-01-16 07:30,111.00,506.00,470.58
2024-01-16 07:45,111.00,506.00,470.58
2024-01-16 08:00,111.00,506.00,470.58
2024-01-16 08:15,111.00,506.00,470.58
2024-01-16 08:30,111.00,506.00,470.58
2024-01-16 08:45,111.00,506.00,470.58
2024-01-16 09:00,111.00,503.00,467.79
2024-01-16 09:15,111.00,503.00,467.79
2024-01-16 09:30,111.00,500.00,465.0
2024-01-16 09:45,111.00,500.00,465.0
2024-01-16 10:00,111.00,500.00,465.0
2024-01-16 10:15,111.00,500.00,465.0
2024-01-16 10:30,111.00,500.00,465.0
2024-01-16 10:45,111.00,500.00,465.0
2024-01-16 11:00,111.00,497.00,462.21
2024-01-16 11:15,111.00,497.00,462.21
2024-01-16 11:30,111.00,497.00,462.21
2024-01-16 11:45,111.00,497.00,462.21
2024-01-16 12:00,111.00,493.00,458.49
2024-01-16 12:15,111.00,493.00,458.49
2024-01-16 12:30,111.00,493.00,458.49
2024-01-16 12:45,111.00,493.00,458.49
2024-01-16 13:00,111.00,490.00,455.7
2024-01-16 13:15,111.00,490.00,455.7
2024-01-16 13:30,111.00,490.00,455.7
2024-01-16 13:45,111.00,490.00,455.7
2024-01-16 14:00,111.00,490.00,455.7
2024-01-16 14:15,111.00,490.00,455.7
2024-01-16 14:30,111.00,490.00,455.7
2024-01-16 14:45,111.00,490.00,455.7
2024-01-16 15:00,111.00,490.00,455.7
2024-01-16 15:15,111.00,490.00,455.7
2024-01-16 15:30,111.00,490.00,455.7
2024-01-16 15:45,111.00,490.00,455.7
2024-01-16 16:00,111.00,490.00,455.7
2024-01-16 16:15,111.00,490.00,455.7
2024-01-16 16:30,111.00,490.00,455.7
2024-01-16 16:45,111.00,490.00,455.7
2024-01-16 17:00,111.00,490.00,455.7
2024-01-16 17:15,111.00,490.00,455.7
2024-01-16 17:30,111.00,490.00,455.7
2024-01-16 17:45,111.00,490.00,455.7
2024-01-16 18:00,111.00,490.00,455.7
2024-01-16 18:15,111.00,490.00,455.7
2024-01-16 18:30,111.00,490.00,455.7
2024-01-16 18:45,111.00,490.00,455.7
2024-01-16 19:00,111.00,490.00,455.7
2024-01-16 19:15,111.00,490.00,455.7
2024-01-16 19:30,111.00,490.00,455.7
2024-01-16 19:45,111.00,490.00,455.7
2024-01-16 20:00,111.00,490.00,455.7
2024-01-16 20:15,111.00,490.00,455.7
2024-01-16 20:30,111.00,486.00,451.98
2024-01-16 20:45,111.00,486.00,451.98
2024-01-16 21:00,111.00,486.00,451.98
2024-01-16 21:15,111.00,486.00,451.98
2024-01-16 21:30,111.00,486.00,451.98
2024-01-16 21:45,111.00,486.00,451.98
2024-01-16 22:00,111.00,482.00,448.26
2024-01-16 22:15,111.00,482.00,448.26
2024-01-16 22:30,111.00,482.00,448.26
2024-01-16 22:45,111.00,482.00,448.26
2024-01-16 23:00,111.00,482.00,448.26
2024-01-16 23:15,111.00,482.00,448.26
2024-01-16 23:30,111.00,478.00,444.54
2024-01-16 23:45,111.00,478.00,444.54
2024-01-17 00:00,111.00,478.00,444.54
2024-01-17 00:15,111.00,478.00,444.54
2024-01-17 00:30,111.00,478.00,444.54
2024-01-17 00:45,111.00,478.00,444.54
2024-01-17 01:00,111.00,478.00,444.54
2024-01-17 01:15,111.00,478.00,444.54
2024-01-17 01:30,111.00,478.00,444.54
2024-01-17 01:45,111.00,478.00,444.54
2024-01-17 02:00,111.00,475.00,441.75
2024-01-17 02:15,111.00,475.00,441.75
2024-01-17 02:30,111.00,475.00,441.75
2024-01-17 02:45,111.00,478.00,444.54
2024-01-17 03:00,111.00,478.00,444.54
2024-01-17 03:15,111.00,475.00,441.75
2024-01-17 03:30,111.00,475.00,441.75
2024-01-17 03:45,111.00,475.00,441.75
2024-01-17 04:00,111.00,475.00,441.75
2024-01-17 04:15,111.00,475.00,441.75
2024-01-17 04:30,111.00,471.00,438.03
2024-01-17 04:45,111.00,471.00,438.03
2024-01-17 05:00,111.00,471.00,438.03
2024-01-17 05:15,111.00,471.00,438.03
2024-01-17 05:30,111.00,467.00,434.31
2024-01-17 05:45,111.00,467.00,434.31
2024-01-17 06:00,111.00,467.00,434.31
2024-01-17 06:15,111.00,467.00,434.31
2024-01-17 06:30,111.00,467.00,434.31
2024-01-17 06:45,111.00,467.00,434.31
2024-01-17 07:00,111.00,467.00,434.31
2024-01-17 07:15,111.00,467.00,434.31
2024-01-17 07:30,111.00,467.00,434.31
2024-01-17 07:45,111.00,467.00,434.31
2024-01-17 08:00,111.00,467.00,434.31
2024-01-17 08:15,111.00,467.00,434.31
2024-01-17 08:30,111.00,464.00,431.52
2024-01-17 08:45,111.00,464.00,431.52
2024-01-17 09:00,111.00,464.00,431.52
2024-01-17 09:15,111.00,464.00,431.52
2024-01-17 09:30,111.00,464.00,431.52
2024-01-17 09:45,111.00,464.00,431.52
2024-01-17 10:00,111.00,464.00,431.52
2024-01-17 10:15,111.00,464.00,431.52
2024-01-17 10:30,111.00,464.00,431.52
2024-01-17 10:45,111.00,467.00,434.31
2024-01-17 11:00,111.00,467.00,434.31
2024-01-17 11:15,111.00,464.00,431.52
2024-01-17 11:30,111.00,464.00,431.52
2024-01-17 11:45,111.00,464.00,431.52
2024-01-17 12:00,111.00,464.00,431.52
2024-01-17 12:15,111.00,464.00,431.52
2024-01-17 12:30,111.00,467.00,434.31
2024-01-17 12:45,111.00,467.00,434.31
2024-01-17 13:00,111.00,467.00,434.31
2024-01-17 13:15,111.00,467.00,434.31
2024-01-17 13:30,111.00,467.00,434.31
2024-01-17 13:45,111.00,467.00,434.31
2024-01-17 14:00,111.00,464.00,431.52
2024-01-17 14:15,111.00,464.00,431.52
2024-01-17 14:30,111.00,464.00,431.52
2024-01-17 14:45,111.00,464.00,431.52
2024-01-17 15:00,111.00,464.00,431.52
2024-01-17 15:15,111.00,467.00,434.31
2024-01-17 15:30,111.00,464.00,431.52
2024-01-17 15:45,111.00,464.00,431.52
2024-01-17 16:00,111.00,467.00,434.31
2024-01-17 16:15,111.00,464.00,431.52
2024-01-17 16:30,111.00,464.00,431.52
2024-01-17 16:45,111.00,460.00,427.8
2024-01-17 17:00,111.00,460.00,427.8
2024-01-17 17:15,111.00,460.00,427.8
2024-01-17 17:30,111.00,460.00,427.8
2024-01-17 17:45,109.00,456.00,424.08
2024-01-17 18:00,109.00,456.00,424.08
2024-01-17 18:15,109.00,456.00,424.08
2024-01-17 18:30,109.00,460.00,427.8
2024-01-17 18:45,109.00,460.00,427.8
2024-01-17 19:00,108.00,460.00,427.8
2024-01-17 19:15,108.00,460.00,427.8
2024-01-17 19:30,108.00,460.00,427.8
2024-01-17 19:45,108.00,460.00,427.8
2024-01-17 20:00,108.00,460.00,427.8
2024-01-17 20:15,108.00,460.00,427.8
2024-01-17 20:30,108.00,460.00,427.8
2024-01-17 20:45,108.00,464.00,431.52
2024-01-17 21:00,108.00,467.00,434.31
2024-01-17 21:15,108.00,471.00,438.03
2024-01-17 21:30,108.00,467.00,434.31
2024-01-17 21:45,108.00,467.00,434.31
2024-01-17 22:00,108.00,464.00,431.52
2024-01-17 22:15,108.00,464.00,431.52
2024-01-17 22:30,108.00,464.00,431.52
2024-01-17 22:45,108.00,464.00,431.52
2024-01-17 23:00,108.00,464.00,431.52
2024-01-17 23:15,108.00,464.00,431.52
2024-01-17 23:30,108.00,464.00,431.52
2024-01-17 23:45,108.00,464.00,431.52
2024-01-18 00:00,108.00,464.00,431.52
2024-01-18 00:15,108.00,464.00,431.52
2024-01-18 00:30,108.00,464.00,431.52
2024-01-18 00:45,108.00,467.00,434.31
2024-01-18 01:00,108.00,467.00,434.31
2024-01-18 01:15,108.00,464.00,431.52
2024-01-18 01:30,108.00,467.00,434.31
2024-01-18 01:45,108.00,467.00,434.31
2024-01-18 02:00,108.00,467.00,434.31
2024-01-18 02:15,108.00,467.00,434.31
2024-01-18 02:30,108.00,467.00,434.31
2024-01-18 02:45,108.00,467.00,434.31
2024-01-18 03:00,108.00,467.00,434.31
2024-01-18 03:15,108.00,467.00,434.31
2024-01-18 03:30,108.00,467.00,434.31
2024-01-18 03:45,108.00,467.00,434.31
2024-01-18 04:00,108.00,467.00,434.31
2024-01-18 04:15,108.00,467.00,434.31
2024-01-18 04:30,108.00,467.00,434.31
2024-01-18 04:45,108.00,467.00,434.31
2024-01-18 05:00,108.00,471.00,438.03
2024-01-18 05:15,108.00,471.00,438.03
2024-01-18 05:30,108.00,471.00,438.03
2024-01-18 05:45,108.00,471.00,438.03
2024-01-18 06:00,108.00,471.00,438.03
2024-01-18 06:15,108.00,471.00,438.03
2024-01-18 06:30,108.00,471.00,438.03
2024-01-18 06:45,108.00,471.00,438.03
2024-01-18 07:00,108.00,471.00,438.03
2024-01-18 07:15,108.00,471.00,438.03
2024-01-18 07:30,108.00,471.00,438.03
2024-01-18 07:45,108.00,471.00,438.03
2024-01-18 08:00,108.00,471.00,438.03
2024-01-18 08:15,108.00,471.00,438.03
2024-01-18 08:30,108.00,475.00,441.75
2024-01-18 08:45,108.00,475.00,441.75
2024-01-18 09:00,108.00,471.00,438.03
2024-01-18 09:15,108.00,475.00,441.75
2024-01-18 09:30,108.00,475.00,441.75
2024-01-18 09:45,108.00,475.00,441.75
2024-01-18 10:00,108.00,475.00,441.75
2024-01-18 10:15,108.00,475.00,441.75
2024-01-18 10:30,108.00,475.00,441.75
2024-01-18 10:45,108.00,475.00,441.75
2024-01-18 11:00,108.00,475.00,441.75
2024-01-18 11:15,108.00,475.00,441.75
2024-01-18 11:30,108.00,475.00,441.75
2024-01-18 11:45,108.00,475.00,441.75
2024-01-18 12:00,108.00,478.00,444.54
2024-01-18 12:15,108.00,478.00,444.54
2024-01-18 12:30,108.00,478.00,444.54
2024-01-18 12:45,108.00,478.00,444.54
2024-01-18 13:00,108.00,478.00,444.54
2024-01-18 13:15,108.00,478.00,444.54
2024-01-18 13:30,108.00,478.00,444.54
2024-01-18 13:45,108.00,478.00,444.54
2024-01-18 14:00,108.00,482.00,448.26
2024-01-18 14:15,108.00,478.00,444.54
2024-01-18 14:30,108.00,482.00,448.26
2024-01-18 14:45,108.00,482.00,448.26
2024-01-18 15:00,108.00,482.00,448.26
2024-01-18 15:15,108.00,482.00,448.26
2024-01-18 15:30,108.00,482.00,448.26
2024-01-18 15:45,108.00,482.00,448.26
2024-01-18 16:00,108.00,482.00,448.26
2024-01-18 16:15,108.00,486.00,451.98
2024-01-18 16:30,108.00,486.00,451.98
2024-01-18 16:45,108.00,486.00,451.98
2024-01-18 17:00,108.00,486.00,451.98
2024-01-18 17:15,108.00,486.00,451.98
2024-01-18 17:30,108.00,486.00,451.98
2024-01-18 17:45,108.00,486.00,451.98
2024-01-18 18:00,108.00,490.00,455.7
2024-01-18 18:15,108.00,490.00,455.7
2024-01-18 18:30,108.00,490.00,455.7
2024-01-18 18:45,108.00,490.00,455.7
2024-01-18 19:00,108.00,490.00,455.7
2024-01-18 19:15,108.00,490.00,455.7
2024-01-18 19:30,108.00,490.00,455.7
2024-01-18 19:45,108.00,490.00,455.7
2024-01-18 20:00,108.00,490.00,455.7
2024-01-18 20:15,108.00,490.00,455.7
2024-01-18 20:30,108.00,490.00,455.7
2024-01-18 20:45,108.00,490.00,455.7
2024-01-18 21:00,108.00,493.00,458.49
2024-01-18 21:15,108.00,493.00,458.49
2024-01-18 21:30,108.00,493.00,458.49
2024-01-18 21:45,108.00,493.00,458.49
2024-01-18 22:00,108.00,493.00,458.49
2024-01-18 22:15,108.00,493.00,458.49
2024-01-18 22:30,108.00,493.00,458.49
2024-01-18 22:45,108.00,490.00,455.7
2024-01-18 23:00,108.00,493.00,458.49
2024-01-18 23:15,108.00,493.00,458.49
2024-01-18 23:30,108.00,493.00,458.49
2024-01-18 23:45,108.00,493.00,458.49
2024-01-19 00:00,108.00,493.00,458.49
2024-01-19 00:15,108.00,493.00,458.49
2024-01-19 00:30,108.00,493.00,458.49
2024-01-19 00:45,108.00,493.00,458.49
2024-01-19 01:00,108.00,493.00,458.49
2024-01-19 01:15,108.00,493.00,458.49
2024-01-19 01:30,108.00,493.00,458.49
2024-01-19 01:45,108.00,493.00,458.49
2024-01-19 02:00,108.00,493.00,458.49
2024-01-19 02:15,108.00,493.00,458.49
2024-01-19 02:30,108.00,493.00,458.49
2024-01-19 02:45,108.00,493.00,458.49
2024-01-19 03:00,108.00,493.00,458.49
2024-01-19 03:15,108.00,493.00,458.49
2024-01-19 03:30,108.00,493.00,458.49
2024-01-19 03:45,108.00,493.00,458.49
2024-01-19 04:00,108.00,493.00,458.49
2024-01-19 04:15,108.00,493.00,458.49
2024-01-19 04:30,108.00,493.00,458.49
2024-01-19 04:45,108.00,493.00,458.49
2024-01-19 05:00,108.00,493.00,458.49
2024-01-19 05:15,108.00,493.00,458.49
2024-01-19 05:30,108.00,493.00,458.49
2024-01-19 05:45,108.00,493.00,458.49
2024-01-19 06:00,108.00,493.00,458.49
2024-01-19 06:15,108.00,493.00,458.49
2024-01-19 06:30,108.00,493.00,458.49
2024-01-19 06:45,108.00,493.00,458.49
2024-01-19 07:00,108.00,493.00,458.49
